,district,date,month,year,visitors
465,Kamareddy ,01-10-2017,October,2017,38
466,Kamareddy ,01-11-2017,November,2017,43
467,Kamareddy ,01-12-2017,December,2017,41
468,Karimnagar ,01-01-2017,January,2017,14425
469,Karimnagar ,01-02-2017,February,2017,10845
470,Karimnagar ,01-03-2017,March,2017,9625
471,Karimnagar ,01-04-2017,April,2017,8630
472,Karimnagar ,01-05-2017,May,2017,8890
473,Karimnagar ,01-06-2017,June,2017,10542
474,Karimnagar ,01-07-2017,July,2017,12350
475,Karimnagar ,01-08-2017,August,2017,10952
476,Karimnagar ,01-09-2017,September,2017,7576
477,Karimnagar ,01-10-2017,October,2017,8371
478,Karimnagar ,01-11-2017,November,2017,8705
479,Karimnagar ,01-12-2017,December,2017,13065
480,Khammam,01-01-2017,January,2017,132528
481,Khammam,01-02-2017,February,2017,115470
482,Khammam,01-03-2017,March,2017,101878
483,Khammam,01-04-2017,April,2017,135920
484,Khammam,01-05-2017,May,2017,138799
485,Khammam,01-06-2017,June,2017,138158
486,Khammam,01-07-2017,July,2017,105102
487,Khammam,01-08-2017,August,2017,129159
488,Khammam,01-09-2017,September,2017,140821
489,Khammam,01-10-2017,October,2017,155943
490,Khammam,01-11-2017,November,2017,110800
491,Khammam,01-12-2017,December,2017,137825
492,Komaram Bheem Asifabad,01-01-2017,January,2017,2241
493,Komaram Bheem Asifabad,01-02-2017,February,2017,2490
494,Komaram Bheem Asifabad,01-03-2017,March,2017,2767
495,Komaram Bheem Asifabad,01-04-2017,April,2017,3074
496,Komaram Bheem Asifabad,01-05-2017,May,2017,3416
497,Komaram Bheem Asifabad,01-06-2017,June,2017,3796
498,Komaram Bheem Asifabad,01-07-2017,July,2017,3713
499,Komaram Bheem Asifabad,01-08-2017,August,2017,3665
500,Komaram Bheem Asifabad,01-09-2017,September,2017,3934
501,Komaram Bheem Asifabad,01-10-2017,October,2017,14050
502,Komaram Bheem Asifabad,01-11-2017,November,2017,3627
503,Komaram Bheem Asifabad,01-12-2017,December,2017,4218
504,Mahabubabad ,01-01-2017,January,2017,13260
505,Mahabubabad ,01-02-2017,February,2017,13045
506,Mahabubabad ,01-03-2017,March,2017,9100
507,Mahabubabad ,01-04-2017,April,2017,9140
508,Mahabubabad ,01-05-2017,May,2017,10220
509,Mahabubabad ,01-06-2017,June,2017,10130
510,Mahabubabad ,01-07-2017,July,2017,10170
511,Mahabubabad ,01-08-2017,August,2017,12520
512,Mahabubabad ,01-09-2017,September,2017,13140
513,Mahabubabad ,01-10-2017,October,2017,13750
514,Mahabubabad ,01-11-2017,November,2017,13560
515,Mahabubabad ,01-12-2017,December,2017,13780
516,Mahbubnagar,01-01-2017,January,2017,446135
517,Mahbubnagar,01-02-2017,February,2017,805392
518,Mahbubnagar,01-03-2017,March,2017,178256
519,Mahbubnagar,01-04-2017,April,2017,208694
520,Mahbubnagar,01-05-2017,May,2017,214209
521,Mahbubnagar,01-06-2017,June,2017,179210
522,Mahbubnagar,01-07-2017,July,2017,179099
523,Mahbubnagar,01-08-2017,August,2017,215229
524,Mahbubnagar,01-09-2017,September,2017,180675
525,Mahbubnagar,01-10-2017,October,2017,196103
526,Mahbubnagar,01-11-2017,November,2017,259060
527,Mahbubnagar,01-12-2017,December,2017,426167
528,Mancherial,01-01-2017,January,2017,2937
529,Mancherial,01-02-2017,February,2017,3130
530,Mancherial,01-03-2017,March,2017,2775
531,Mancherial,01-04-2017,April,2017,1513
532,Mancherial,01-05-2017,May,2017,1424
533,Mancherial,01-06-2017,June,2017,2119
534,Mancherial,01-07-2017,July,2017,33591
535,Mancherial,01-08-2017,August,2017,26104
536,Mancherial,01-09-2017,September,2017,24297
537,Mancherial,01-10-2017,October,2017,37671
538,Mancherial,01-11-2017,November,2017,25737
539,Mancherial,01-12-2017,December,2017,30328
540,Medak ,01-01-2017,January,2017,523000
541,Medak ,01-02-2017,February,2017,543321
542,Medak ,01-03-2017,March,2017,548535
543,Medak ,01-04-2017,April,2017,554864
544,Medak ,01-05-2017,May,2017,556891
545,Medak ,01-06-2017,June,2017,561469
546,Medak ,01-07-2017,July,2017,575300
547,Medak ,01-08-2017,August,2017,632830
548,Medak ,01-09-2017,September,2017,696113
549,Medak ,01-10-2017,October,2017,765724
550,Medak ,01-11-2017,November,2017,842296
